Unique ID,Brand,Model,Case Size,Case Material,Dial,Reference Number,Movement,Bracelet Material,Bracelet Style,Bracelet Colour,Closing Mechanism,Closing Mechanism Material,Bezel,Bezel Colour,Bezel Numbers,Price,Complication 1,Complication 2,Complication 3,Complication 4,Hour Markers,Hour Marker Colour,Style,Exclusivity,Edition
RLX/DJ/ER/41/J/2/CHO/IND,Rolex,Datejust,41,Everose Rolesor,Chocolate,126331,Calibre 3235,Everose Rolesor,Jubilee,Everose Rolesor,Folding Clasp,Everose Rolesor,Jubilee,Everose Gold,Null,$15 950,Date,,,,Indices,White,Dress,Low,NULL
RLX/DJ/ER/41/J/3/SUN/IND,Rolex,Datejust,41,Everose Rolesor,Sundust,126331,Calibre 3235,Everose Rolesor,Jubilee,Everose Rolesor,Folding Clasp,Everose Rolesor,Jubilee,Everose Gold,Null,$15 950,Date,,,,Indices,White,Dress,Low,NULL
RLX/DJ/ER/41/J/CHO/DIA,Rolex,Datejust,41,Everose Rolesor,Chocolate,126331,Calibre 3235,Everose Rolesor,Jubilee,Everose Rolesor,Folding Clasp,Everose Rolesor,Jubilee,Everose Gold,Null,$17 950,Date,,,,Diamonds,Diamonds,Dress,Low,NULL
RLX/DJ/ER/41/J/SUN/DIA,Rolex,Datejust,41,Everose Rolesor,Sundust,126331,Calibre 3235,Everose Rolesor,Jubilee,Everose Rolesor,Folding Clasp,Everose Rolesor,Jubilee,Everose Gold,Null,$17 950,Date,,,,Diamonds,Diamonds,Dress,Low,NULL
RLX/SUB/ST/41/BLK,Rolex,Submariner,41,Oystersteel,Black,124060,Calibre 3230,Oystersteel,Oyster,Oystersteel,NULL,Folding Clasp,Oystersteel,Ceramic,Black,$9 200,None,,,,Indices,White,Diver,Low,NULL
RLX/SUBD/ST/41/BLU,Rolex,Submariner,41,Oystersteel,Black,126610LN,Calibre 3230,Oystersteel,Oyster,Oystersteel,NULL,Folding Clasp,Oystersteel,Ceramic,Black,$10 400,Date,,,,Indices,White,Diver,Low,NULL
RLX/SUBD/ST/41/GRN,Rolex,Submariner,41,Oystersteel,Black,126610LV,Calibre 3230,Oystersteel,Oyster,Oystersteel,NULL,Folding Clasp,Oystersteel,Ceramic,Green,$10 900,Date,,,,Indices,White,Diver,Low,NULL
RLX/SUBD/YR/41/BLK,Rolex,Submariner,41,Oystersteel,Black,126613LN,Calibre 3230,Yellow Rolesor,Oyster,Yellow Rolesor,NULL,Folding Clasp,Yellow Rolesor,Ceramic,Black,$17 000,Date,,,,Indices,White,Diver,Low/Medium,NULL
RLX/SUBD/YR/41/BLU,Rolex,Submariner,41,Oystersteel,Black,126613LB,Calibre 3230,Yellow Rolesor,Oyster,Yellow Rolesor,NULL,Folding Clasp,Yellow Rolesor,Ceramic,Blue,$17 000,Date,,,,Indices,White,Diver,Low/Medium,NULL
RLX/SUBD/YG/BLK,Rolex,Submariner,41,Yellow Gold,Black,126618LN,Calibre 3230,Yellow Gold,Oyster,Yellow Gold,NULL,Folding Clasp,Yellow Gold,Ceramic,Black,$43 500,Date,,,,Indices,White,Diver,Medium,NULL
RLX/SUBD/YG/BLU,Rolex,Submariner,41,Yellow Gold,Black,126618LB,Calibre 3230,Yellow Gold,Oyster,Yellow Gold,NULL,Folding Clasp,Yellow Gold,Ceramic,Blue,$43 500,Date,,,,Indices,White,Diver,Medium,NULL
RLX/SUBD/WGBLU,Rolex,Submariner,41,White Gold,Black,126619LB,Calibre 3230,White Gold,Oyster,White Gold,NULL,Folding Clasp,White Gold,Ceramic,Blue,$46 600,Date,,,,Indices,White,Diver,Medium,NULL
RLX/GM2/ST/O/GRY,Rolex,GMT Master II,40,Oystersteel,Black,126710GRNR,Calibre 3285,Oystersteel,Oyster,Oystersteel,Folding Clasp,Oystersteel,Ceramic,Gray and Black,Oystersteel,$10 800,GMT,,,,Indices,White,Sport,Low,NULL
RLX/GM2/ST/O/BLU,Rolex,GMT Master II,40,Oystersteel,Black,126710BLNR,Calibre 3285,Oystersteel,Oyster,Oystersteel,Folding Clasp,Oystersteel,Ceramic,Blue and Black,Oystersteel,$10 800,GMT,Date,,,Indices,White,Sport,Low,NULL
RLX/GM2/ST/O/PEP,Rolex,GMT Master II,40,Oystersteel,Black,126710BLRO,Calibre 3285,Oystersteel,Oyster,Oystersteel,Folding Clasp,Oystersteel,Ceramic,Red and Blue,Oystersteel,$10 800,GMT,Date,,,Indices,White,Sport,Low,NULL
RLX/GM2/ST/O/GRN,Rolex,GMT Master II,40,Oystersteel,Black,126710VTNR,Calibre 3285,Oystersteel,Oyster,Oystersteel,Folding Clasp,Oystersteel,Ceramic,Green and Black,Oystersteel,$11 350,GMT,Date,,,Indices,White,Sport,Low,NULL
RLX/GM2/ST/J/GRYBLK,Rolex,GMT Master II,40,Oystersteel,Black,126710GRNR,Calibre 3285,Oystersteel,Jubilee,Oystersteel,Folding Clasp,Oystersteel,Ceramic,Gray and Black,Oystersteel,$11 000,GMT,Date,,,Indices,White,Sport,Low,NULL
RLX/GM2/ST/J/BLUBLK,Rolex,GMT Master II,40,Oystersteel,Black,126710BLNR,Calibre 3285,Oystersteel,Jubilee,Oystersteel,Folding Clasp,Oystersteel,Ceramic,Blue and Black,Oystersteel,$11 000,GMT,Date,,,Indices,White,Sport,Low,NULL
RLX/GM2/ST/J/PEP,Rolex,GMT Master II,40,Oystersteel,Black,126710BLRO,Calibre 3285,Oystersteel,Jubilee,Oystersteel,Folding Clasp,Oystersteel,Ceramic,Red and Blue,Oystersteel,$11 000,GMT,Date,,,Indices,White,Sport,Low,NULL
RLX/GM2/ST/J/GRNBLK,Rolex,GMT Master II,40,Oystersteel,Black,126720VTNR,Calibre 3285,Oystersteel,Jubilee,Oystersteel,Folding Clasp,Oystersteel,Ceramic,Green and Black,Oystersteel,$11 550,GMT,Date,,,Indices,White,Sport,Low,NULL
RLX/GM2/YR/J/GRYBLK,Rolex,GMT Master II,40,Yellow Rolesor,Black,126713GRNR,Calibre 3285,Yellow Rolesor,Jubilee,Yellow Rolesor,Folding Clasp,Yellow Rolesor,Ceramic,Gray and Black,Yellow Gold,$17 850,GMT,Date,,,Indices,White,Sport,Low-Medium,NULL
RLX/GM2/ER/O/BLKCHO,Rolex,GMT Master II,40,Everose Rolesor,Black,126711CHNR,Calibre 3285,Everose Rolesor,Oyster,Everose Rolesor,Folding Clasp,Everose Rolesor,Ceramic,Black and Chocolate,Everose Gold,$17 500,GMT,Date,,,Indices,White,Sport,Low-Medium,NULL
RLX/GM2/YG/J/GRYBLK,Rolex,GMT Master II,40,Yellow Gold,Black,126718GRNR,Calibre 3285,Yellow Gold,Jubilee,Yellow Gold,Folding Clasp,Yellow Gold,Ceramic,Gray and Black,Yellow Gold,$43 300,GMT,Date,,,Indices,White,Sport,Medium-High,NULL
RLX/YG/PEP/O/BLU,Rolex,GMT Master II,40,White Gold,Black,126719BLRO,Calibre 3285,White Gold,Oyster,White Gold,Folding Clasp,White Gold,Ceramic,Red and Blue,White Gold,$45 200,GMT,Date,,,Indices,White,Sport,High,NULL
RLX/YG/O/PEP/O/MET,Rolex,GMT Master II,40,White Gold,White Meteorite,126719BLRO,Calibre 3285,White Gold,Oyster,White Gold,Folding Clasp,White Gold,Ceramic,Red and Blue,White Gold,$47 500,GMT,Date,,,Indices,White,Sport,High,NULL
RLX/EG/O/BLKCHO,Rolex,GMT Master II,40,Everose Gold,Black,126715CHNR,Calibre 3285,Everose Gold,Oyster,Everose Gold,Folding Clasp,Everose Gold,Ceramic,Black and Chocolate,Everose Gold,$45 200,GMT,Date,,,Indices,White,Sport,High,NULL
RLX/DD/40/YG/F/BLK/IND,Rolex,Daydate,40,Yellow Gold,Black,228238,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Fluted,Yellow Gold,NULL,$43 000,Day,Date,,,Indices,White,Dress,Medium,NULL
RLX/DD/40/YG/F/GRN/ROM,Rolex,Daydate,40,Yellow Gold,Green,228238,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Fluted,Yellow Gold,NULL,$43 000,Day,Date,,,Roman Numerals,Yellow Gold,Dress,Medium,NULL
RLX/DD/40/YG/F/GRNOMB/ROM,Rolex,Daydate,40,Yellow Gold,Green Ombre,228238,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Fluted,Yellow Gold,NULL,$43 000,Day,Date,,,Roman Numerals,Yellow Gold,Dress,Medium,NULL
RLX/DD/40/YG/F/CHM/IND,Rolex,Daydate,40,Yellow Gold,Champagne,228238,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Fluted,Yellow Gold,NULL,$43 000,Day,Date,,,Indices,White,Dress,Medium,NULL
RLX/DD/40/YG/F/CHM/ROM,Rolex,Daydate,40,Yellow Gold,Champagne,228238,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Fluted,Yellow Gold,NULL,$43 000,Day,Date,,,Roman Numerals,Yellow Gold,Dress,Medium,NULL
RLX/DD/40/YG/F/SIL/ROM,Rolex,Daydate,40,Yellow Gold,Silver,228238,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Fluted,Yellow Gold,NULL,$43 000,Day,Date,,,Roman Numerals,Yellow Gold,Dress,Medium,NULL
RLX/DD/40/YG/F/SIL/IND,Rolex,Daydate,40,Yellow Gold,Silver,228238,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Fluted,Yellow Gold,NULL,$43 000,Day,Date,,,Indices,White,Dress,Medium,NULL
RLX/DD/40/YG/F/WHT/ROM,Rolex,Daydate,40,Yellow Gold,White,228238,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Fluted,Yellow Gold,NULL,$43 000,Day,Date,,,Roman Numerals,Yellow Gold,Dress,Medium,NULL
RLX/DD/40/YG/F/BLK/DIA,Rolex,Daydate,40,Yellow Gold,Black,228238,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Fluted,Yellow Gold,NULL,$47 500,Day,Date,,,Diamonds,Diamonds,Dress,High,NULL
RLX/DD/40/YG/F/ONX/DIA,Rolex,Daydate,40,Yellow Gold,Black Onyx,228238,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Fluted,Yellow Gold,NULL,$53 600,Day,Date,,,Diamonds,Diamonds,Dress,High,NULL
RLX/DD/40/YG/F/CHM/DIA,Rolex,Daydate,40,Yellow Gold,Champagne,228238,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Fluted,Yellow Gold,NULL,$47 500,Day,Date,,,Diamonds,Diamonds,Dress,High,NULL
RLX/DD/40/YG/F/MOP/DIA,Rolex,Daydate,40,Yellow Gold,White Mother of Pearl,228238,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Fluted,Yellow Gold,NULL,$48 550,Day,Date,,,Diamonds,Diamonds,Dress,High,NULL
RLX/DD/40/YG/F/DIA/DIA,Rolex,Daydate,40,Yellow Gold,Yellow Gold Diamond,228238,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Fluted,Yellow Gold,NULL,$66 100,Day,Date,,,Diamonds,Diamonds,Dress,High,NULL
RLX/DD/40/YG/SQDIA/BLK/IND,Rolex,Daydate,40,Yellow Gold,Black,228398TBR,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Diamond,Diamond,NULL,$95 500,Day,Date,,,Indices,White,Dress,High,NULL
RLX/DD/40/YG/SQDIA/GRN/ROM,Rolex,Daydate,40,Yellow Gold,Green,228398TBR,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Diamond,Diamond,NULL,$95 500,Day,Date,,,Roman Numerals,Yellow Gold,Dress,High,NULL
RLX/DD/40/YG/SQDIA/GRNOMB/ROM,Rolex,Daydate,40,Yellow Gold,Green Ombre,228398TBR,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Diamond,Diamond,NULL,$95 500,Day,Date,,,Roman Numerals,Yellow Gold,Dress,High,NULL
RLX/DD/40/YG/SQDIA/CHM/ROM,Rolex,Daydate,40,Yellow Gold,Champagne,228398TBR,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Diamond,Diamond,NULL,$95 500,Day,Date,,,Indices,White,Dress,High,NULL
RLX/DD/40/YG/SQDIA/CHM/IND,Rolex,Daydate,40,Yellow Gold,Champagne,228398TBR,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Diamond,Diamond,NULL,$95 500,Day,Date,,,Roman Numerals,Yellow Gold,Dress,High,NULL
RLX/DD/40/YG/SQDIA/SIL/ROM,Rolex,Daydate,40,Yellow Gold,Silver,228398TBR,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Diamond,Diamond,NULL,$95 500,Day,Date,,,Roman Numerals,Yellow Gold,Dress,High,NULL
RLX/DD/40/YG/SQDIA/SIL/IND,Rolex,Daydate,40,Yellow Gold,Silver,228398TBR,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Diamond,Diamond,NULL,$95 500,Day,Date,,,Indices,White,Dress,High,NULL
RLX/DD/40/YG/SQDIA/WHT/ROM,Rolex,Daydate,40,Yellow Gold,White,228398TBR,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Diamond,Diamond,NULL,$95 500,Day,Date,,,Roman Numerals,Yellow Gold,Dress,High,NULL
RLX/DD/40/YG/SQDIA/BLK/DIA,Rolex,Daydate,40,Yellow Gold,Black,228398TBR,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Diamond,Diamond,NULL,$100 000,Day,Date,,,Diamonds,Diamonds,Dress,High,NULL
RLX/DD/40/YG/SQDIA/ONX/DIA,Rolex,Daydate,40,Yellow Gold,Black Onyx,228398TBR,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Diamond,Diamond,NULL,$106 100,Day,Date,,,Diamonds,Diamonds,Dress,High,NULL
RLX/DD/40YG//SQDIA/CHM/DIA,Rolex,Daydate,40,Yellow Gold,Champagne,228398TBR,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Diamond,Diamond,NULL,$100 000,Day,Date,,,Diamonds,Diamonds,Dress,High,NULL
RLX/DD/40/YG/SQDIA/MOP/DIA,Rolex,Daydate,40,Yellow Gold,White Mother of Pearl,228398TBR,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Diamond,Diamond,NULL,$101 050,Day,Date,,,Diamonds,Diamonds,Dress,High,NULL
RLX/DD/40/YG/SQDIA/DIA/DIA,Rolex,Daydate,40,Yellow Gold,Yellow Gold Diamond,228398TBR,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Diamond,Diamond,NULL,$118 600,Day,Date,,,Diamonds,Diamonds,Dress,High,NULL
RLX/DD/40/YG/CIRDIA/BLK/IND,Rolex,Daydate,40,Yellow Gold,Black,228348RBR,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Diamond,Diamond,NULL,$62 200,Day,Date,,,Indices,White,Dress,High,NULL
RLX/DD/40/YG/CIRDIA/GRN/ROM,Rolex,Daydate,40,Yellow Gold,Green,228348RBR,Calibre 3255,Yellow Gold,President,Yellow Gold,Folding Clasp,Yellow Gold,Diamond,Diamond,NULL,$62 200,Day,Date,,,Roman Numerals,Yellow Gold,Dress,High,NULL
