Complication and Colour ID,Complication Name,Colour
PC.YG,Perpetual Calendar,Yellow Gold
PC.RG,Perpetual Calendar,Rose Gold
PC.BLK,Perpetual Calendar,Black
PR.RED,Power Reserve,Red
PR.PNK,Power Reserve,Pink
PR.ORN,Power Reserve,Orange
PR.YEL,Power Reserve,Yellow
PR.CHM,Power Reserve,Champagne
PR.LGRN,Power Reserve,Light Green
PR.GRN,Power Reserve,Green
PR.OLVGRN,Power Reserve,Olive Green
PR.DGRN,Power Reserve,Dark Green
PR.LBLU,Power Reserve,Light Blue
PR.BBLU,Power Reserve,Bright Blue
PR.BLU,Power Reserve,Blue
PR.DBLU,Power Reserve,Dark Blue
PR.LPRP,Power Reserve,Light Purple
PR.PRP,Power Reserve,Purple
PR.DPRP,Power Reserve,Dark Purple
PR.WHT,Power Reserve,White
PR.SIL,Power Reserve,Silver
PR.GRY,Power Reserve,Gray
PR.WG,Power Reserve,White Gold
PR.YG,Power Reserve,Yellow Gold
PR.RG,Power Reserve,Rose Gold
BLK,Power Reserve,Black
SS.RED,Small Seconds,Red
SS.PNK,Small Seconds,Pink
SS.ORN,Small Seconds,Orange
SS.YEL,Small Seconds,Yellow
SS.CHM,Small Seconds,Champagne
SS.LGRN,Small Seconds,Light Green
SS.GRN,Small Seconds,Green
SS.OLVGRN,Small Seconds,Olive Green
SS.DGRN,Small Seconds,Dark Green
SS.LBLU,Small Seconds,Light Blue
SS.BBLU,Small Seconds,Bright Blue
SS.BLU,Small Seconds,Blue
SS.DBLU,Small Seconds,Dark Blue
SS.LPRP,Small Seconds,Light Purple
SS.PRP,Small Seconds,Purple
SS.DPRP,Small Seconds,Dark Purple
SS.WHT,Small Seconds,White
SS.SIL,Small Seconds,Silver
SS.GRY,Small Seconds,Gray
SS.WG,Small Seconds,White Gold
SS.YG,Small Seconds,Yellow Gold
SS.RG,Small Seconds,Rose Gold
SS.BLK,Small Seconds,Black
